text,labels,source,pred,pred_label,true_label,confidence
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,2,sst2_val,0,positive,negative,0.9988708
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,2,sst2_val,0,positive,negative,0.99869233
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,2,sst2_val,0,positive,negative,0.99830234
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",2,sst2_val,0,positive,negative,0.9982551
"outer-space buffs might love this film , but others will find its pleasures intermittent . ",2,sst2_val,0,positive,negative,0.9982395
teen movies have really hit the skids . ,2,sst2_val,0,positive,negative,0.99818087
"the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting . ",2,sst2_val,0,positive,negative,0.99801314
will do,1,twitter_test,0,positive,neutral,0.9979772
girl you know beauty has a price,1,twitter_test,0,positive,neutral,0.99797016
Thank you ^^,1,wisesight_test,0,positive,neutral,0.99767286
fall down,1,twitter_test,2,negative,neutral,0.9973592
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",2,sst2_val,0,positive,negative,0.9973354
better than throwing them out,1,twitter_test,0,positive,neutral,0.99729615
Hates untalented **** being mean to my talented friends,1,twitter_test,2,negative,neutral,0.9972365
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ",2,sst2_val,0,positive,negative,0.9972179
is in history,1,twitter_test,0,positive,neutral,0.99701583
Danny cut his beautiful curls,2,twitter_test,0,positive,negative,0.9969879
as unseemly as its title suggests . ,0,sst2_val,2,negative,positive,0.99689543
hilariously inept and ridiculous . ,0,sst2_val,2,negative,positive,0.9967265
"it 's played in the most straight-faced fashion , with little humor to lighten things up . ",2,sst2_val,0,positive,negative,0.99661463
"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ",2,sst2_val,0,positive,negative,0.9965785
""" most definitely will!  also, i wanted to say 'perfect time' was my favorite track! it seriously made me tear up!""",1,twitter_test,0,positive,neutral,0.99644405
"movie fans , get ready to take off ... the other direction . ",2,sst2_val,0,positive,negative,0.99636924
sam mendes has become valedictorian at the school for soft landings and easy ways out . ,2,sst2_val,0,positive,negative,0.9963128
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,2,sst2_val,0,positive,negative,0.9962469
"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",2,sst2_val,0,positive,negative,0.9960705
still making icons,1,twitter_test,0,positive,neutral,0.9960098
My younger sister flies in next week for a two week visit. So blessed to look forward to seeing family members visit.,1,twitter_test,0,positive,neutral,0.9959044
You are quite welcome Mr. Poole.,1,twitter_test,0,positive,neutral,0.9958191
i wear a lot of white  http://tinyurl.com/dlbltg,2,twitter_test,1,neutral,negative,0.9957046
หาซื้อผ้าอนามัยลอรีเอะ ซูเปอร์ เจนเทิล พลัส ได้ที่ 7-Eleven ทุกสาขาได้เลยนะคะ :) http://www.lauriermybrand.com/2013/l-product/super_gen.html,0,wisesight_test,1,neutral,positive,0.99566513
it`s trashy and sensationalist...so yes,2,twitter_test,0,positive,negative,0.995507
"the lower your expectations , the more you 'll enjoy it . ",2,sst2_val,0,positive,negative,0.9954177
"""jfc, it needs to be the 23rd. i will have been graduated, and i ended up getting AWESOME hook-ups for FTSK and Rocket. so excited!""",1,twitter_test,0,positive,neutral,0.99540186
I thought  was against licensing stores bc it takes away from the experience they want to provide,1,twitter_test,2,negative,neutral,0.99535
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,0,sst2_val,2,negative,positive,0.9952695
Getting the FAB portraits ready to upload today,0,twitter_test,1,neutral,positive,0.9951775
"the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . ",2,sst2_val,0,positive,negative,0.99507564
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",0,sst2_val,2,negative,positive,0.9950354
got to see 2 of my favorite guys back on long island  heading back to the city tomorrow or monday to be with the boyfriend! <3,2,twitter_test,0,positive,negative,0.9947956
my poor baby girl is poorly  x,1,twitter_test,2,negative,neutral,0.994699
eagerly anticipating twitpics,1,twitter_test,0,positive,neutral,0.9946248
the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,0,sst2_val,2,negative,positive,0.9946084
together,1,twitter_test,0,positive,neutral,0.99450725
making german apple slice  nom nom nom,0,twitter_test,1,neutral,positive,0.99449325
lol haha very funnyyy lol im talking to my bestfriend ashleyyyy!!!,1,twitter_test,0,positive,neutral,0.99420846
จิ๋ว เชียงราย - ต๋อง มัตซูชิ รอบ 16 คน ระบบ 5/9 เฟรม 'SangSom 6 Red Open Grand Final 2017' @ Terminal 21 Korat,0,wisesight_test,1,neutral,positive,0.99418783
I`ve just about made it all the way round the park jogging. Quite pleased for my 6th outing,1,twitter_test,0,positive,neutral,0.99390715
ไม่รู้ว่ะรู้แต่กินอะไรไม่อร่อย..แดร่กสปาย4ขวดเมานอนนับดาว,1,wisesight_test,2,negative,neutral,0.9938014
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",0,sst2_val,2,negative,positive,0.9937198
วันนี้ไปทาน สาขาบิ๊กซีหัวหมาก พนักงานบริการดีค่ะ แต่เสียแค่เรื่องการเติมอาหาร ช้ามากกกกค่ะ,0,wisesight_test,2,negative,positive,0.99359137
Perhaps they see it as the twitter version of pulling someone`s pigtails? Let me know if that works out for you.,2,twitter_test,1,neutral,negative,0.9934006
