text,labels,source,pred,pred_label,true_label,confidence
จิ๋ว เชียงราย - ต๋อง มัตซูชิ รอบ 16 คน ระบบ 5/9 เฟรม 'SangSom 6 Red Open Grand Final 2017' @ Terminal 21 Korat,0,wisesight_test,1,neutral,positive,0.96550894
ตอบ สินค้านี้ ลอรีเอะ ซุปเปอร์ เจนเทิลพลัส 25-30 ซม. 6-7ชิ้น ราคา 21 บาท,0,wisesight_test,1,neutral,positive,0.95828354
tom ford shade and illuminate intensity 1 ราคา 2470 บาท มีมา 2 พาเลต Shade & Illuminate เป็นอีกหนึ่งตัวที่น่าสนใจสำหรับการสร้างกรอบหน้า ช่วยให้ใบหน้าแลดูมิติ โดยการรวมเนื้อครีม highlight และ sculpt ไว้ในพาเลตสวยหรูตามแบบของทอมฟอด เนื้อครีมเกลี่ยได้ง่าย ไม่มันหรือวาว สามารถใช้ได้ทุกสีผิว #tomford,0,wisesight_test,1,neutral,positive,0.95242316
อยากกินซูชิ,1,wisesight_test,0,positive,neutral,0.95009756
อยากกินหรอ,1,wisesight_test,0,positive,neutral,0.9468628
อยากกินซื่อครับ,1,wisesight_test,0,positive,neutral,0.94440854
คู่แข่งเตรียมหนาว! หลุด 'Toyota Corolla 2018' เวอร์ชั่นญี่ปุ่น มีหน้าตาเหมือน Auris ที่เปิดตัวไปก่อนหน้านี้,0,wisesight_test,1,neutral,positive,0.9426636
ป่าว อยากกินลีโอ555,1,wisesight_test,0,positive,neutral,0.9421496
จัดจ้านในย่านป้อมปราบศัตรูพ่าย @ Ba hao 八號,0,wisesight_test,1,neutral,positive,0.9318001
พรีเมี่ยม หรูหรา มีระดับ ราคาแบบนี้ จัดไปครับ! #TeamRoyal #มีดีมากกว่าหน้าตา,0,wisesight_test,1,neutral,positive,0.92886597
นิสสัน นาวารา ใหม่! คือเทคโนโลยีที่เปลี่ยนให้ทุกปัญหากลายเป็นเรื่องง่าย,0,wisesight_test,1,neutral,positive,0.9286828
กุอยากกิน,1,wisesight_test,0,positive,neutral,0.92664105
ฮอนด้าเอาเรื่อง! หนุ่มใจกล้าที่ขึ้นหลังรถชูป้าย กรณี HR-V เสีย 20 รายการ #ข่าวฮอนด้า #ข่าวยานยนต์ #เว็บรถมือสอง…,2,wisesight_test,1,neutral,negative,0.9260353
"ฉีด jomalone english pear มาค่ะ ป้าทักว่า ""กลิ่นเหมือนบุหรี่"" ร้องไห้...",2,wisesight_test,1,neutral,negative,0.9249759
ส่วนผสมสำคัญจากธรรมชาติ(Active Ingredient)ของ Smooth E Acne clear Makeup Cleansing Water คือ 1.Mango Steen Extract สารสกัดธรรมชาติจากเปลือกมังคุด มีคุณสมบัติช่วยสลายต้นตอของการเกิดสิว ป้องกันและดูแลปัญหาสิว สิวอุดตัน 2.Centulla Asiatica Extractสารสกัดธรรมชาติจากใบบัวบก มีคุณสมบัติช่วยลดเลือนริ้วรอย รอยดำ รอยแดงจากสิว #สมูทอีคลีนซิ่งวอเตอร์,0,wisesight_test,1,neutral,positive,0.92244524
อยากขับattrage เลย,1,wisesight_test,0,positive,neutral,0.9216398
Top 10 ลำดับสุดท้ายของ IPSA Best Seller อีกหนึ่ง Must have item! ที่อยากแนะนำสาวๆให้ได้ลอง ซีรั่มที่ช่วยล็อคประสิทธิภาพของครีมบำรุงผิว IPSA Barrier Serum ด้วยคุณสมบัติพิเศษในการยึดเกาะผิวและเก็บกักความชุ่มชื่นได้ยาวนาน เมื่อสัมผัสโดนน้ำ หรือเจอเหงื่อ จะยิ่งเพิ่มคุณสมบัติในการยึดเกาะได้มากยิ่งขึ้น ไม่ทิ้งคราบมัน เหมาะกับทุกสภาพผิว เชิญทดลองผลิตภัณฑ์ได้แล้ววันนี้ที่เคาน์เตอร์อิปซ่าทุกสาขาค่ะ #IPSAThailand,0,wisesight_test,1,neutral,positive,0.92054105
การ์นิเย่ เอจเลส ไวท์ สูตรเพื่อผิวอายุ 30+ และมี SPF30/PA+++ เพราะเป็นเซรั่มครีมที่ลดเลือนริ้วรอบ ผิวกระจ่างใสคะ,0,wisesight_test,1,neutral,positive,0.91960466
เลี้ยงงถูกม่ะ?,0,wisesight_test,1,neutral,positive,0.9174808
🎉#No4🎉 ทั้งถูก ทั้งดี ก็ซองนี้ นี้เอง ที่เราใช้อยู่ KA UV babyface SPF 42 PA+++ ครีมกันแดดหน้าเนียน ใช้แล้วไม่เป็นสิวอุดตัน ไม่เกิดสิว ไม่มีแอลกอฮอล์ ใช้แล้วทำให้หน้าเด็กลง แดดจะร้อนแค่ไหน กันแดด KA ก็เอาอยู่จร้า แท็กเพื่อน 5 คน👇 #KAx7Eleven #KAUVBabyFace,0,wisesight_test,1,neutral,positive,0.9173211
ป่ะๆๆกินกัน,1,wisesight_test,0,positive,neutral,0.9145631
เริ่มปีใหม่ด้วยคิง 4 ตาติด เริศ!!,0,wisesight_test,1,neutral,positive,0.9134974
"HELLO MG! แรงไม่หยุด NEW MG ZS ดันยอดจองรถยนต์ เอ็มจี พุ่งทะลุ 1,994 คัน โตขึ้นจากปีที่แล้ว 77%",0,wisesight_test,1,neutral,positive,0.9104834
ด้วยความฉลาด คิดว่าผ้าอนามัยวิสเปอร์ มัน 3 ห่อ 129฿ นี่เลยจัดมา 3 ห่อ ปรากฎว่ามันห่อละ 129฿ ซื้อ2แถม1 มึงแพงอะไรคะวิสเปอร์ ใช้แล้วมีสามีงิ,2,wisesight_test,1,neutral,negative,0.9098976
สำหรับงาน Transmisson : The Spirit of Warrior ต้องขวดนี้ค่ะ Jack Daniel's Tennessee Whiskey honey ป็นวิสกี้ที่โดดเด่นในเรื่องของความหอมหวานราวกับน้ำผึ้ง(เดือน5) เพราะนำเอา Honey Liqueur ถึง 4 ชนิดผสมเข้าไป ทำให้ได้รสเข้มข้นเหมือนกับดื่มน้ำผึ้งอยู่จริง ๆ แต่ไม่ได้หวานมากจนบาดคอนะคะ ผู้ชายก็ชอบผู้หญิงก็ต้องบอกว่าใช่!! แล้วเจอกันค่ะ <3,0,wisesight_test,1,neutral,positive,0.9093628
ปีละหน 😁 #SinghaPark #Canon #Canon5DMarkIII #5DMarkIII,0,wisesight_test,1,neutral,positive,0.907706
พิธีบรมราชาภิเษก 4-6 พ.ค. เชื่อสิว่าบริษัทต้องประกาศวันหยุด แล้วถ้าเราลาเพิ่มวันที่ 2-3 เราก็จะได้หยุด 1-6 พ.ค. รวม 6 วันเลยนะเว้ยยยยยย,0,wisesight_test,1,neutral,positive,0.90613174
2ชุดจบเลย,0,wisesight_test,1,neutral,positive,0.9059033
เล่นสดนะคะ เสียงใสมาก #감자톡톡 #NFlying #엔플라잉 #BreezerTH #LiveLifeInColour #WelcomeNFlyingInThailand,2,wisesight_test,1,neutral,negative,0.90443873
"Elasgrow ช่วยปรับโครงสร้างผิวให้กระชับมาจากภายใน, 3D Hyaluronic Acids ทำหน้าที่สร้างตาข่ายล็อคความชุ่มชื่นล้ำลึกได้อย่างยาวนาน ซึ่งทั้ง 2 ส่วนประกอบจะร่วมกันซ่อมผิวแก่ให้ดูอ่อนเยาว์ได้ หลังการบำรุงด้วย Hada Labo Anti-Aging Lotion เป็นประจำนะคะ #HadaLaboAntiAgingLotion #1stStepAntiAging #โลชั่นซ่อมผิวแก่",0,wisesight_test,1,neutral,positive,0.90204644
"เป็ดย่างโฟร์ซีซั่นตัวละ 1,200 ค่ะ #พูดลอยๆ #FYI",0,wisesight_test,1,neutral,positive,0.8990823
