text,labels,source,pred,pred_label,true_label,confidence
slick piece of cross-promotion . ,0,sst2_val,2,negative,positive,0.9935813
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,2,sst2_val,0,positive,negative,0.9935161
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,2,sst2_val,0,positive,negative,0.9935041
"""First surprise birthday ever, best night I`ve had in a **** long time!""",1,twitter_test,0,positive,neutral,0.99275136
i wear a lot of white  http://tinyurl.com/dlbltg,2,twitter_test,1,neutral,negative,0.99258065
"""Friday Night Magic last night, I lost so bad  I suck at draft""",1,twitter_test,2,negative,neutral,0.99245065
my poor baby girl is poorly  x,1,twitter_test,2,negative,neutral,0.9915475
My younger sister flies in next week for a two week visit. So blessed to look forward to seeing family members visit.,1,twitter_test,0,positive,neutral,0.9905036
hilariously inept and ridiculous . ,0,sst2_val,2,negative,positive,0.98993975
You are quite welcome Mr. Poole.,1,twitter_test,0,positive,neutral,0.98923886
the live version is so much better  ? http://blip.fm/~79my3,1,twitter_test,0,positive,neutral,0.98918813
missin the #ia2009 guys really,1,twitter_test,2,negative,neutral,0.988848
as unseemly as its title suggests . ,0,sst2_val,2,negative,positive,0.98852766
I`m concerned for that family,0,twitter_test,2,negative,positive,0.9881684
"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",2,sst2_val,0,positive,negative,0.98786676
"writer/director joe carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic . ",0,sst2_val,2,negative,positive,0.987475
Now I like #startrek. Personal feels that #Startrek movie is better than #xmen.,1,twitter_test,0,positive,neutral,0.98673254
I`ve just about made it all the way round the park jogging. Quite pleased for my 6th outing,1,twitter_test,0,positive,neutral,0.98658806
soo **** stressed out...I think I could possibly lose it,0,twitter_test,2,negative,positive,0.9864319
// i feel your pain. i once lived in an apt for 6 mos where the previous tenant had 4 cats. burning eyes/tight lungs =  gregg,1,twitter_test,2,negative,neutral,0.98608136
""" ohh snapp, have fun""",1,twitter_test,0,positive,neutral,0.9859583
curses upon the ridiculously slow internetz at work!  The dang image just now loaded...,1,twitter_test,2,negative,neutral,0.98519
"""Lovin` , , & _Bailon SOOOO much right now!""",1,twitter_test,0,positive,neutral,0.98510265
Sorry JJ i missed that post  I`ll make sure do so next time.,1,twitter_test,2,negative,neutral,0.98495376
"""wishing, i was at the michou show right now.. god. life isnt fair""",1,twitter_test,2,negative,neutral,0.9847081
I`m loving Please Don`t Leave Me by Pink!,1,twitter_test,0,positive,neutral,0.9846444
Getting the FAB portraits ready to upload today,0,twitter_test,1,neutral,positive,0.98456466
I have a new found respect for you now that I know you know the Konami code!,1,twitter_test,0,positive,neutral,0.98454845
"the jabs it employs are short , carefully placed and dead-center . ",0,sst2_val,2,negative,positive,0.9843758
keeping it chilled.,0,twitter_test,1,neutral,positive,0.98424083
oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,1,twitter_test,2,negative,neutral,0.98324007
"""Lots of tasks to complete today. First, wecloming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee""",0,twitter_test,1,neutral,positive,0.9828047
I hate the exams . first time and last time in this school  then i`m out ! after 10 years! yaaaay !,1,twitter_test,2,negative,neutral,0.9824426
Danny cut his beautiful curls,2,twitter_test,0,positive,negative,0.9823926
"""WIDE awake, scoffed 3/4`s of a pizza and feel like a sumo  such a weak day! Run tomorrow""",1,twitter_test,2,negative,neutral,0.98154175
Sorry. Just think - 2.5 hrs till 2 days off!,1,twitter_test,2,negative,neutral,0.98118585
oh yes! Level 40,0,twitter_test,1,neutral,positive,0.9804033
Wango tango!!! Good night all,1,twitter_test,0,positive,neutral,0.98010296
...Nomore adventure time,2,twitter_test,1,neutral,negative,0.9797838
Spilled chocolate milk in my car,2,twitter_test,1,neutral,negative,0.97975415
lol haha very funnyyy lol im talking to my bestfriend ashleyyyy!!!,1,twitter_test,0,positive,neutral,0.9789621
hey hunnie  how are u?? I miss talkin to u! Ty for the follow,1,twitter_test,2,negative,neutral,0.97895926
All ready for work... except my arm,2,twitter_test,1,neutral,negative,0.978917
- That Jasper clip is my first 'favorite' Twitter message.,1,twitter_test,0,positive,neutral,0.97879124
"""Slept in, woke up with an iced coffee, lazed about & went out for a late lunch with the BF. It`s been a sweet little laid-back Saturday.""",1,twitter_test,0,positive,neutral,0.9787659
i`m still in bed and on the laptop ...yep borin !!!,1,twitter_test,2,negative,neutral,0.97827977
"""Bored, making a mothers day card""",1,twitter_test,2,negative,neutral,0.9778074
i think that i`m the only 1 on!!!,0,twitter_test,1,neutral,positive,0.97755766
yes it does,0,twitter_test,1,neutral,positive,0.97751606
i want to gooo,0,twitter_test,1,neutral,positive,0.9772718
""" I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit""",0,twitter_test,1,neutral,positive,0.97715
Im so tired and sick  i have to be better on Sunday so i can sing morning and night,1,twitter_test,2,negative,neutral,0.9770477
Hates untalented **** being mean to my talented friends,1,twitter_test,2,negative,neutral,0.9769837
"""Wow, the new Google icons suck   http://bit.ly/z7JIE""",1,twitter_test,2,negative,neutral,0.97683245
"""I wish I was out of school...But sadly, I still have like another month left.""",1,twitter_test,2,negative,neutral,0.9751658
I forget how much I miss my tribe til I have limited access to talking to them. Spotty internet in the country so I won`t be here long.,0,twitter_test,2,negative,positive,0.9751346
your test works fine for me  tweetdeck is so cool eh?,1,twitter_test,0,positive,neutral,0.97471493
Yo somebody`s mother just came to the club dresses like she`s going straight to church after the club! I feel like I`m going to hell 4  @,1,twitter_test,2,negative,neutral,0.9746348
"""  youre diabetic?   so is my dad.  & i might be too, not sure.  are you still allowed to eat sugar throughout the day?""",2,twitter_test,1,neutral,negative,0.9740675
Still sick  bout to play some ps3 till the laker game starts,1,twitter_test,2,negative,neutral,0.97403425
"""i get so sucked in to true life, and that steve-o documentary was intense, i love that ****, it`s nice to see people get their lives back""",1,twitter_test,0,positive,neutral,0.973892
Perhaps they see it as the twitter version of pulling someone`s pigtails? Let me know if that works out for you.,2,twitter_test,1,neutral,negative,0.9737741
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",0,sst2_val,2,negative,positive,0.9722936
"""jfc, it needs to be the 23rd. i will have been graduated, and i ended up getting AWESOME hook-ups for FTSK and Rocket. so excited!""",1,twitter_test,0,positive,neutral,0.97204393
Thanks    ? http://blip.fm/~5z6n8,1,twitter_test,0,positive,neutral,0.97157234
""" Yeah, I`ll probably `stop` when ALL of my stories are completely finished. That won`t be for a while though. Wide awake.""",2,twitter_test,1,neutral,negative,0.97081137
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,0,sst2_val,2,negative,positive,0.9703053
making german apple slice  nom nom nom,0,twitter_test,1,neutral,positive,0.9700752
got to see 2 of my favorite guys back on long island  heading back to the city tomorrow or monday to be with the boyfriend! <3,2,twitter_test,0,positive,negative,0.9686285
i`m a bum today,1,twitter_test,2,negative,neutral,0.96846306
that`s great! i was never so good at the jump roping...,1,twitter_test,0,positive,neutral,0.9682112
ok      Love you girls. but work beckons.  Will come back later for #twpp,1,twitter_test,0,positive,neutral,0.96749854
I`ll be grand....,1,twitter_test,0,positive,neutral,0.9674328
